ID,Категория,Название продукта,Калории (ккал),Белки (г),Жиры (г),Углеводы (г),Гликемический индекс (ГИ)
56,Овощи,Цветная капуста замороженные эко,29,2.5,0.3,4.0,15
57,Овощи,Цветная капуста соленые,32,2.5,0.4,4.8,15
58,Овощи,Цветная капуста соленые диетический(ое),32,2.5,0.4,4.8,15
59,Овощи,Картофель отварной,82,2.0,0.4,16.7,70
60,Овощи,Картофель отварной диетический(ое),82,2.0,0.4,16.7,70
61,Овощи,Картофель отварной на пару,66,2.1,0.5,16.9,84
62,Овощи,Картофель отварной на пару премиум,66,2.1,0.5,16.9,84
63,Овощи,Картофель отварной тушеные,76,2.1,0.4,16.3,84
64,Овощи,Картофель отварной тушеные диетический(ое),76,2.1,0.4,16.3,84
65,Овощи,Картофель отварной на гриле,84,2.2,0.6,15.1,70
66,Овощи,Картофель отварной замороженные,86,1.9,0.6,19.2,70
67,Овощи,Картофель отварной соленые,77,2.1,0.5,14.4,70
68,Овощи,Картофель жареный,192,2.8,9.5,23.4,85
69,Овощи,Картофель жареный на пару,226,2.8,12.8,23.7,100
70,Овощи,Картофель жареный на пару халяль,226,2.8,12.8,23.7,100
71,Овощи,Картофель жареный тушеные,153,2.7,7.7,27.4,100
72,Овощи,Картофель жареный на гриле,237,3.0,9.6,19.3,85
73,Овощи,Картофель жареный замороженные,237,3.1,8.2,23.3,85
74,Овощи,Картофель жареный замороженные диетический(ое),237,3.1,8.2,23.3,85
75,Овощи,Картофель жареный соленые,160,2.9,12.7,19.9,85
76,Овощи,Картофель жареный соленые отборный(ое),160,2.9,12.7,19.9,85
77,Овощи,Морковь свежая,35,1.3,0.1,6.9,35
78,Овощи,Морковь свежая ГОСТ,35,1.3,0.1,6.9,35
79,Овощи,Морковь свежая на пару,36,1.3,0.1,7.9,42
80,Овощи,Морковь свежая на пару диетический(ое),36,1.3,0.1,7.9,42
81,Овощи,Морковь свежая тушеные,35,1.2,0.1,7.5,42
82,Овощи,Морковь свежая тушеные домашний(ее),35,1.2,0.1,7.5,42
83,Овощи,Морковь свежая на гриле,31,1.3,0.1,7.3,35
84,Овощи,Морковь свежая на гриле диетический(ое),31,1.3,0.1,7.3,35
85,Овощи,Морковь свежая замороженные,35,1.3,0.1,6.1,35
86,Овощи,Морковь свежая соленые,33,1.3,0.1,6.1,35
87,Овощи,Морковь отварная,25,0.8,0.2,5.0,85
88,Овощи,Морковь отварная веган,25,0.8,0.2,5.0,85
89,Овощи,Морковь отварная на пару,20,0.8,0.2,5.8,100
90,Овощи,Морковь отварная на пару фермерский(ое),20,0.8,0.2,5.8,100
91,Овощи,Морковь отварная тушеные,30,0.7,0.2,5.3,100
92,Овощи,Морковь отварная тушеные отборный(ое),30,0.7,0.2,5.3,100
93,Овощи,Морковь отварная на гриле,22,0.7,0.3,5.1,85
94,Овощи,Морковь отварная на гриле отборный(ое),22,0.7,0.3,5.1,85
95,Овощи,Морковь отварная замороженные,25,0.8,0.3,4.4,85
96,Овощи,Морковь отварная замороженные веган,25,0.8,0.3,4.4,85
97,Овощи,Морковь отварная соленые,21,0.8,0.2,4.9,85
98,Овощи,Морковь отварная соленые ГОСТ,21,0.8,0.2,4.9,85
99,Овощи,Свекла отварная,49,1.9,0.1,10.8,65
100,Овощи,Свекла отварная домашний(ее),49,1.9,0.1,10.8,65
101,Овощи,Свекла отварная на пару,57,2.0,0.1,9.1,78
102,Овощи,Свекла отварная на пару отборный(ое),57,2.0,0.1,9.1,78
103,Овощи,Свекла отварная тушеные,49,1.8,0.1,9.7,78
104,Овощи,Свекла отварная тушеные веган,49,1.8,0.1,9.7,78
105,Овощи,Свекла отварная на гриле,43,1.9,0.1,9.8,65
106,Овощи,Свекла отварная на гриле халяль,43,1.9,0.1,9.8,65
107,Овощи,Свекла отварная замороженные,45,2.1,0.1,12.4,65
108,Овощи,Свекла отварная соленые,52,1.7,0.1,12.3,65
109,Овощи,Лук репчатый,41,1.4,0.2,8.2,15
110,Овощи,Лук репчатый эко,41,1.4,0.2,8.2,15
111,Овощи,Лук репчатый на пару,52,1.5,0.3,7.1,18
112,Овощи,Лук репчатый на пару веган,52,1.5,0.3,7.1,18
113,Овощи,Лук репчатый тушеные,42,1.3,0.2,6.8,18
114,Овощи,Лук репчатый тушеные домашний(ее),42,1.3,0.2,6.8,18
115,Овощи,Лук репчатый на гриле,40,1.5,0.2,9.1,15
116,Овощи,Лук репчатый на гриле веган,40,1.5,0.2,9.1,15
117,Овощи,Лук репчатый замороженные,42,1.4,0.3,9.8,15
118,Овощи,Лук репчатый замороженные веган,42,1.4,0.3,9.8,15
119,Овощи,Лук репчатый соленые,44,1.5,0.2,7.5,15
120,Овощи,Лук репчатый соленые ГОСТ,44,1.5,0.2,7.5,15
121,Овощи,Чеснок,143,6.5,0.5,29.9,30
122,Овощи,Чеснок премиум,143,6.5,0.5,29.9,30
123,Овощи,Чеснок на пару,183,6.6,0.6,32.9,36
124,Овощи,Чеснок на пару диетический(ое),183,6.6,0.6,32.9,36
125,Овощи,Чеснок тушеные,118,6.6,0.6,34.1,36
126,Овощи,Чеснок тушеные эко,118,6.6,0.6,34.1,36
127,Овощи,Чеснок на гриле,125,7.1,0.4,26.1,30
128,Овощи,Чеснок на гриле премиум,125,7.1,0.4,26.1,30
129,Овощи,Чеснок замороженные,156,6.7,0.5,25.4,30
130,Овощи,Чеснок замороженные премиум,156,6.7,0.5,25.4,30
131,Овощи,Чеснок соленые,178,6.2,0.6,31.3,30
132,Овощи,Чеснок соленые премиум,178,6.2,0.6,31.3,30
133,Овощи,Перец болгарский,27,1.3,0.1,5.3,15
134,Овощи,Перец болгарский домашний(ее),27,1.3,0.1,5.3,15
135,Овощи,Перец болгарский на пару,27,1.3,0.1,6.2,18
136,Овощи,Перец болгарский на пару эко,27,1.3,0.1,6.2,18
137,Овощи,Перец болгарский тушеные,24,1.4,0.1,5.1,18
138,Овощи,Перец болгарский тушеные премиум,24,1.4,0.1,5.1,18
139,Овощи,Перец болгарский на гриле,30,1.2,0.1,5.8,15
140,Овощи,Перец болгарский на гриле фермерский(ое),30,1.2,0.1,5.8,15
141,Овощи,Перец болгарский замороженные,22,1.3,0.1,6.4,15
142,Овощи,Перец болгарский замороженные фермерский(ое),22,1.3,0.1,6.4,15
143,Овощи,Перец болгарский соленые,22,1.2,0.1,6.2,15
144,Овощи,Перец болгарский соленые халяль,22,1.2,0.1,6.2,15
145,Овощи,Кабачки,24,0.6,0.3,4.6,15
146,Овощи,Кабачки премиум,24,0.6,0.3,4.6,15
147,Овощи,Кабачки на пару,29,0.6,0.3,4.0,18
148,Овощи,Кабачки на пару ГОСТ,29,0.6,0.3,4.0,18
149,Овощи,Кабачки тушеные,29,0.6,0.4,5.5,18
150,Овощи,Кабачки тушеные веган,29,0.6,0.4,5.5,18
151,Овощи,Кабачки на гриле,27,0.5,0.4,4.2,15
152,Овощи,Кабачки на гриле халяль,27,0.5,0.4,4.2,15
153,Овощи,Кабачки замороженные,27,0.7,0.3,3.9,15
154,Овощи,Кабачки замороженные отборный(ое),27,0.7,0.3,3.9,15
155,Овощи,Кабачки соленые,20,0.6,0.3,4.8,15
156,Овощи,Кабачки соленые веган,20,0.6,0.3,4.8,15
157,Овощи,Баклажаны,24,1.2,0.1,4.5,20
158,Овощи,Баклажаны ГОСТ,24,1.2,0.1,4.5,20
159,Овощи,Баклажаны на пару,27,1.1,0.1,4.1,24
160,Овощи,Баклажаны на пару эко,27,1.1,0.1,4.1,24
161,Овощи,Баклажаны тушеные,25,1.3,0.1,3.8,24
162,Овощи,Баклажаны тушеные халяль,25,1.3,0.1,3.8,24
163,Овощи,Баклажаны на гриле,24,1.1,0.1,5.0,20
164,Овощи,Баклажаны замороженные,26,1.1,0.1,4.6,20
165,Овощи,Баклажаны соленые,24,1.1,0.1,5.2,20
166,Овощи,Баклажаны соленые отборный(ое),24,1.1,0.1,5.2,20
167,Овощи,Тыква запеченная,22,1.0,0.1,4.4,75
168,Овощи,Тыква запеченная домашний(ее),22,1.0,0.1,4.4,75
169,Овощи,Тыква запеченная на пару,27,1.0,0.1,4.5,90
170,Овощи,Тыква запеченная на пару диетический(ое),27,1.0,0.1,4.5,90
171,Овощи,Тыква запеченная тушеные,19,0.9,0.1,5.1,90
172,Овощи,Тыква запеченная тушеные домашний(ее),19,0.9,0.1,5.1,90
173,Овощи,Тыква запеченная на гриле,26,1.1,0.1,3.9,75
174,Овощи,Тыква запеченная на гриле ГОСТ,26,1.1,0.1,3.9,75
175,Овощи,Тыква запеченная замороженные,20,0.9,0.1,5.1,75
176,Овощи,Тыква запеченная замороженные эко,20,0.9,0.1,5.1,75
177,Овощи,Тыква запеченная соленые,22,1.0,0.1,5.2,75
178,Овощи,Тыква запеченная соленые премиум,22,1.0,0.1,5.2,75
179,Овощи,Зеленый горошек свежий,73,5.0,0.2,13.8,40
180,Овощи,Зеленый горошек свежий диетический(ое),73,5.0,0.2,13.8,40
181,Овощи,Зеленый горошек свежий на пару,89,5.5,0.3,15.9,48
182,Овощи,Зеленый горошек свежий на пару премиум,89,5.5,0.3,15.9,48
183,Овощи,Зеленый горошек свежий тушеные,59,5.2,0.2,16.2,48
184,Овощи,Зеленый горошек свежий тушеные ГОСТ,59,5.2,0.2,16.2,48
185,Овощи,Зеленый горошек свежий на гриле,87,5.4,0.3,12.5,40
186,Овощи,Зеленый горошек свежий на гриле эко,87,5.4,0.3,12.5,40
187,Овощи,Зеленый горошек свежий замороженные,87,4.6,0.3,15.8,40
188,Овощи,Зеленый горошек свежий замороженные веган,87,4.6,0.3,15.8,40
189,Овощи,Зеленый горошек свежий соленые,66,5.3,0.2,12.7,40
190,Овощи,Зеленый горошек свежий соленые фермерский(ое),66,5.3,0.2,12.7,40
191,Овощи,Кукуруза консервированная,58,2.2,0.4,11.2,55
192,Овощи,Кукуруза консервированная веган,58,2.2,0.4,11.2,55
193,Овощи,Кукуруза консервированная на пару,69,2.1,0.3,9.8,66
194,Овощи,Кукуруза консервированная на пару веган,69,2.1,0.3,9.8,66
195,Овощи,Кукуруза консервированная тушеные,55,2.4,0.6,10.2,66
196,Овощи,Кукуруза консервированная тушеные отборный(ое),55,2.4,0.6,10.2,66
197,Овощи,Кукуруза консервированная на гриле,65,2.2,0.6,11.4,55
198,Овощи,Кукуруза консервированная на гриле веган,65,2.2,0.6,11.4,55
199,Овощи,Кукуруза консервированная замороженные,73,2.0,0.6,9.8,55
200,Овощи,Кукуруза консервированная соленые,74,2.1,0.4,10.9,55
201,Овощи,Шпинат свежий,23,2.9,0.4,3.6,15
202,Овощи,Шпинат свежий халяль,23,2.9,0.4,3.6,15
203,Овощи,Шпинат свежий на пару,26,2.8,0.5,3.6,18
204,Овощи,Шпинат свежий на пару домашний(ее),26,2.8,0.5,3.6,18
205,Овощи,Шпинат свежий тушеные,22,2.9,0.4,3.9,18
206,Овощи,Шпинат свежий тушеные фермерский(ое),22,2.9,0.4,3.9,18
207,Овощи,Шпинат свежий на гриле,18,3.1,0.5,3.9,15
208,Овощи,Шпинат свежий на гриле веган,18,3.1,0.5,3.9,15
209,Овощи,Шпинат свежий замороженные,26,3.0,0.4,3.0,15
210,Овощи,Шпинат свежий замороженные ГОСТ,26,3.0,0.4,3.0,15
211,Овощи,Шпинат свежий соленые,26,2.8,0.4,4.1,15
212,Овощи,Шпинат свежий соленые ГОСТ,26,2.8,0.4,4.1,15
213,Овощи,Салат Айсберг,14,0.9,0.1,1.8,15
214,Овощи,Салат Айсберг диетический(ое),14,0.9,0.1,1.8,15
215,Овощи,Салат Айсберг на пару,16,0.9,0.1,1.7,18
216,Овощи,Салат Айсберг на пару премиум,16,0.9,0.1,1.7,18
217,Овощи,Салат Айсберг тушеные,14,0.9,0.1,1.7,18
218,Овощи,Салат Айсберг на гриле,17,0.9,0.1,1.9,15
219,Овощи,Салат Айсберг замороженные,13,0.9,0.1,1.6,15
220,Овощи,Салат Айсберг соленые,14,0.9,0.1,1.8,15
221,Фрукты и ягоды,Яблоки красные,52,0.4,0.4,11.8,35
222,Фрукты и ягоды,Яблоки красные отборный(ое),52,0.4,0.4,11.8,35
223,Фрукты и ягоды,Яблоки красные сушеные,53,0.4,0.5,13.7,35
224,Фрукты и ягоды,Яблоки красные сушеные веган,53,0.4,0.5,13.7,35
225,Фрукты и ягоды,Яблоки красные вяленые,62,0.4,0.3,11.9,35
226,Фрукты и ягоды,Яблоки красные вяленые диетический(ое),62,0.4,0.3,11.9,35
227,Фрукты и ягоды,Яблоки красные пюре,58,0.4,0.5,13.0,35
228,Фрукты и ягоды,Яблоки красные пюре веган,58,0.4,0.5,13.0,35
229,Фрукты и ягоды,Яблоки красные замороженные,59,0.4,0.4,9.6,35
230,Фрукты и ягоды,Яблоки красные замороженные отборный(ое),59,0.4,0.4,9.6,35
231,Фрукты и ягоды,Яблоки зеленые,47,0.4,0.4,9.8,30
232,Фрукты и ягоды,Яблоки зеленые фермерский(ое),47,0.4,0.4,9.8,30
233,Фрукты и ягоды,Яблоки зеленые сушеные,43,0.4,0.6,8.1,30
234,Фрукты и ягоды,Яблоки зеленые вяленые,47,0.4,0.4,10.6,30
235,Фрукты и ягоды,Яблоки зеленые пюре,49,0.4,0.5,7.9,30
236,Фрукты и ягоды,Яблоки зеленые пюре халяль,49,0.4,0.5,7.9,30
237,Фрукты и ягоды,Яблоки зеленые замороженные,55,0.4,0.3,9.5,30
238,Фрукты и ягоды,Яблоки зеленые замороженные домашний(ее),55,0.4,0.3,9.5,30
239,Фрукты и ягоды,Бананы,89,1.5,0.2,21.8,60
240,Фрукты и ягоды,Бананы эко,89,1.5,0.2,21.8,60
241,Фрукты и ягоды,Бананы сушеные,79,1.6,0.2,17.9,60
242,Фрукты и ягоды,Бананы сушеные отборный(ое),79,1.6,0.2,17.9,60
243,Фрукты и ягоды,Бананы вяленые,82,1.6,0.2,24.4,60
244,Фрукты и ягоды,Бананы вяленые премиум,82,1.6,0.2,24.4,60
245,Фрукты и ягоды,Бананы пюре,100,1.6,0.2,25.7,60
246,Фрукты и ягоды,Бананы пюре домашний(ее),100,1.6,0.2,25.7,60
247,Фрукты и ягоды,Бананы замороженные,110,1.5,0.3,21.8,60
248,Фрукты и ягоды,Бананы замороженные премиум,110,1.5,0.3,21.8,60
249,Фрукты и ягоды,Апельсины,43,0.9,0.2,8.1,35
250,Фрукты и ягоды,Апельсины сушеные,52,0.9,0.3,8.9,35
251,Фрукты и ягоды,Апельсины вяленые,44,0.9,0.2,8.5,35
252,Фрукты и ягоды,Апельсины вяленые домашний(ее),44,0.9,0.2,8.5,35
253,Фрукты и ягоды,Апельсины пюре,50,0.9,0.2,7.4,35
254,Фрукты и ягоды,Апельсины замороженные,36,0.9,0.2,7.5,35
255,Фрукты и ягоды,Грейпфрут,35,0.7,0.2,6.5,25
256,Фрукты и ягоды,Грейпфрут диетический(ое),35,0.7,0.2,6.5,25
257,Фрукты и ягоды,Грейпфрут сушеные,37,0.6,0.2,7.0,25
258,Фрукты и ягоды,Грейпфрут сушеные фермерский(ое),37,0.6,0.2,7.0,25
259,Фрукты и ягоды,Грейпфрут вяленые,40,0.6,0.2,6.6,25
260,Фрукты и ягоды,Грейпфрут вяленые ГОСТ,40,0.6,0.2,6.6,25
261,Фрукты и ягоды,Грейпфрут пюре,35,0.7,0.2,7.6,25
262,Фрукты и ягоды,Грейпфрут пюре премиум,35,0.7,0.2,7.6,25
263,Фрукты и ягоды,Грейпфрут замороженные,38,0.7,0.3,7.2,25
264,Фрукты и ягоды,Грейпфрут замороженные фермерский(ое),38,0.7,0.3,7.2,25
265,Фрукты и ягоды,Мандарины,38,0.8,0.2,7.5,30
266,Фрукты и ягоды,Мандарины отборный(ое),38,0.8,0.2,7.5,30
267,Фрукты и ягоды,Мандарины сушеные,37,0.7,0.2,8.3,30
268,Фрукты и ягоды,Мандарины сушеные халяль,37,0.7,0.2,8.3,30
269,Фрукты и ягоды,Мандарины вяленые,46,0.9,0.2,8.2,30
270,Фрукты и ягоды,Мандарины вяленые домашний(ее),46,0.9,0.2,8.2,30
271,Фрукты и ягоды,Мандарины пюре,40,0.8,0.2,6.7,30
272,Фрукты и ягоды,Мандарины пюре фермерский(ое),40,0.8,0.2,6.7,30
273,Фрукты и ягоды,Мандарины замороженные,38,0.7,0.2,8.0,30
274,Фрукты и ягоды,Мандарины замороженные веган,38,0.7,0.2,8.0,30
275,Фрукты и ягоды,Лимон,34,0.9,0.1,3.0,20
276,Фрукты и ягоды,Лимон фермерский(ое),34,0.9,0.1,3.0,20
277,Фрукты и ягоды,Лимон сушеные,34,0.8,0.1,2.6,20
278,Фрукты и ягоды,Лимон сушеные отборный(ое),34,0.8,0.1,2.6,20
279,Фрукты и ягоды,Лимон вяленые,37,0.8,0.1,3.1,20
280,Фрукты и ягоды,Лимон вяленые диетический(ое),37,0.8,0.1,3.1,20
281,Фрукты и ягоды,Лимон пюре,27,0.9,0.1,3.0,20
282,Фрукты и ягоды,Лимон пюре диетический(ое),27,0.9,0.1,3.0,20
283,Фрукты и ягоды,Лимон замороженные,28,0.9,0.1,2.8,20
284,Фрукты и ягоды,Лимон замороженные халяль,28,0.9,0.1,2.8,20
285,Фрукты и ягоды,Груши,47,0.4,0.3,10.3,38
286,Фрукты и ягоды,Груши эко,47,0.4,0.3,10.3,38
287,Фрукты и ягоды,Груши сушеные,55,0.4,0.4,11.7,38
288,Фрукты и ягоды,Груши сушеные халяль,55,0.4,0.4,11.7,38
289,Фрукты и ягоды,Груши вяленые,43,0.4,0.2,10.5,38
290,Фрукты и ягоды,Груши вяленые домашний(ее),43,0.4,0.2,10.5,38
291,Фрукты и ягоды,Груши пюре,61,0.4,0.4,11.5,38
292,Фрукты и ягоды,Груши пюре премиум,61,0.4,0.4,11.5,38
293,Фрукты и ягоды,Груши замороженные,52,0.4,0.4,9.1,38
294,Фрукты и ягоды,Груши замороженные премиум,52,0.4,0.4,9.1,38
295,Фрукты и ягоды,Персики,45,0.9,0.1,9.5,35
296,Фрукты и ягоды,Персики фермерский(ое),45,0.9,0.1,9.5,35
297,Фрукты и ягоды,Персики сушеные,36,0.8,0.1,10.1,35
298,Фрукты и ягоды,Персики сушеные премиум,36,0.8,0.1,10.1,35
299,Фрукты и ягоды,Персики вяленые,48,0.8,0.1,10.5,35
300,Фрукты и ягоды,Персики вяленые эко,48,0.8,0.1,10.5,35
301,Фрукты и ягоды,Персики пюре,39,0.9,0.1,8.0,35
302,Фрукты и ягоды,Персики пюре ГОСТ,39,0.9,0.1,8.0,35
303,Фрукты и ягоды,Персики замороженные,54,1.0,0.1,7.7,35
304,Фрукты и ягоды,Персики замороженные диетический(ое),54,1.0,0.1,7.7,35
305,Фрукты и ягоды,Абрикосы,44,0.9,0.1,9.0,30
306,Фрукты и ягоды,Абрикосы фермерский(ое),44,0.9,0.1,9.0,30
307,Фрукты и ягоды,Абрикосы сушеные,42,0.9,0.1,8.6,30
308,Фрукты и ягоды,Абрикосы сушеные домашний(ее),42,0.9,0.1,8.6,30
309,Фрукты и ягоды,Абрикосы вяленые,50,0.8,0.1,9.5,30
310,Фрукты и ягоды,Абрикосы вяленые фермерский(ое),50,0.8,0.1,9.5,30
311,Фрукты и ягоды,Абрикосы пюре,37,0.9,0.1,9.4,30
312,Фрукты и ягоды,Абрикосы замороженные,37,1.0,0.1,8.4,30
313,Фрукты и ягоды,Сливы,43,0.8,0.3,9.6,35
314,Фрукты и ягоды,Сливы сушеные,43,0.8,0.3,9.0,35
315,Фрукты и ягоды,Сливы вяленые,52,0.9,0.3,11.4,35
316,Фрукты и ягоды,Сливы пюре,48,0.9,0.4,9.4,35
317,Фрукты и ягоды,Сливы замороженные,50,0.9,0.3,10.8,35
318,Фрукты и ягоды,Сливы замороженные эко,50,0.9,0.3,10.8,35
319,Фрукты и ягоды,Виноград кишмиш,72,0.6,0.2,16.8,45
320,Фрукты и ягоды,Виноград кишмиш премиум,72,0.6,0.2,16.8,45
321,Фрукты и ягоды,Виноград кишмиш сушеные,76,0.6,0.2,18.4,45
322,Фрукты и ягоды,Виноград кишмиш сушеные веган,76,0.6,0.2,18.4,45
323,Фрукты и ягоды,Виноград кишмиш вяленые,67,0.6,0.3,14.0,45
324,Фрукты и ягоды,Виноград кишмиш вяленые фермерский(ое),67,0.6,0.3,14.0,45
325,Фрукты и ягоды,Виноград кишмиш пюре,89,0.6,0.2,17.5,45
326,Фрукты и ягоды,Виноград кишмиш пюре веган,89,0.6,0.2,17.5,45
327,Фрукты и ягоды,Виноград кишмиш замороженные,71,0.5,0.3,14.7,45
328,Фрукты и ягоды,Виноград кишмиш замороженные эко,71,0.5,0.3,14.7,45
329,Фрукты и ягоды,Клубника,41,0.8,0.4,7.5,25
330,Фрукты и ягоды,Клубника диетический(ое),41,0.8,0.4,7.5,25
331,Фрукты и ягоды,Клубника сушеные,37,0.8,0.4,8.6,25
332,Фрукты и ягоды,Клубника сушеные фермерский(ое),37,0.8,0.4,8.6,25
333,Фрукты и ягоды,Клубника вяленые,47,0.8,0.3,8.8,25
334,Фрукты и ягоды,Клубника вяленые эко,47,0.8,0.3,8.8,25
335,Фрукты и ягоды,Клубника пюре,34,0.8,0.5,8.3,25
336,Фрукты и ягоды,Клубника пюре премиум,34,0.8,0.5,8.3,25
337,Фрукты и ягоды,Клубника замороженные,46,0.8,0.5,8.4,25
338,Фрукты и ягоды,Клубника замороженные диетический(ое),46,0.8,0.5,8.4,25
339,Фрукты и ягоды,Малина,46,0.8,0.5,8.3,25
340,Фрукты и ягоды,Малина премиум,46,0.8,0.5,8.3,25
341,Фрукты и ягоды,Малина сушеные,38,0.8,0.6,7.7,25
342,Фрукты и ягоды,Малина сушеные эко,38,0.8,0.6,7.7,25
343,Фрукты и ягоды,Малина вяленые,50,0.8,0.6,8.1,25
344,Фрукты и ягоды,Малина вяленые домашний(ее),50,0.8,0.6,8.1,25
345,Фрукты и ягоды,Малина пюре,53,0.8,0.6,7.5,25
346,Фрукты и ягоды,Малина пюре диетический(ое),53,0.8,0.6,7.5,25
347,Фрукты и ягоды,Малина замороженные,42,0.7,0.5,7.0,25
348,Фрукты и ягоды,Малина замороженные отборный(ое),42,0.7,0.5,7.0,25
349,Фрукты и ягоды,Черника,44,1.1,0.4,7.7,25
350,Фрукты и ягоды,Черника диетический(ое),44,1.1,0.4,7.7,25
351,Фрукты и ягоды,Черника сушеные,46,1.2,0.4,6.8,25
352,Фрукты и ягоды,Черника сушеные премиум,46,1.2,0.4,6.8,25
353,Фрукты и ягоды,Черника вяленые,45,1.1,0.6,7.8,25
354,Фрукты и ягоды,Черника вяленые фермерский(ое),45,1.1,0.6,7.8,25
355,Фрукты и ягоды,Черника пюре,41,1.0,0.4,6.9,25
356,Фрукты и ягоды,Черника пюре фермерский(ое),41,1.0,0.4,6.9,25
357,Фрукты и ягоды,Черника замороженные,39,1.0,0.5,7.0,25
358,Фрукты и ягоды,Черника замороженные фермерский(ое),39,1.0,0.5,7.0,25
359,Фрукты и ягоды,Арбуз,27,0.6,0.1,5.8,75
360,Фрукты и ягоды,Арбуз веган,27,0.6,0.1,5.8,75
361,Фрукты и ягоды,Арбуз сушеные,34,0.6,0.1,4.9,75
362,Фрукты и ягоды,Арбуз сушеные диетический(ое),34,0.6,0.1,4.9,75
363,Фрукты и ягоды,Арбуз вяленые,33,0.6,0.1,6.0,75
364,Фрукты и ягоды,Арбуз вяленые отборный(ое),33,0.6,0.1,6.0,75
365,Фрукты и ягоды,Арбуз пюре,27,0.6,0.1,4.8,75
366,Фрукты и ягоды,Арбуз пюре веган,27,0.6,0.1,4.8,75
